Year,Private,Public
1971,2930,1410
1972,3090,1550
1973,3220,1600
1974,3420,1650
1975,3680,1780
1976,3980,1940
1977,4240,2040
1978,4610,2150
1979,5010,2330
1980,5590,2550
1981,6330,2870
1982,7130,3200
1983,7760,3430
1984,8450,3680
1985,8900,3860
1986,9850,4050
1987,10460,4200
1988,11660,4460
1989,12560,4720
1990,13480,5070
1991,14190,5450
1992,15030,5830
1993,15800,6210
1994,16500,6620
1995,17380,6740
1996,18360,7140
1997,19360,7470
1998,20460,7770
1999,21480,8080
2000,22240,8440
2001,23860,9030
2002,24870,9670
2003,26060,10530
2004,27470,11380
2005,28740,12120
2006,30500,12840
2007,31990,13560
2008,33800,14370
2009,35070,15240
2010,36470,16180
2011,37970,17160
2012,39450,17820
2013,40960,18380
2014,42450,18930
2015,43880,19570
2016,45350,20150
2017,46990,20790
2018,48510,21370
